,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
7,OneLowVW,"Jul 8th, 2020 3:01 am",,"Jul 9th, 2020 12:37 am",,,3,81%,The Source,Automotive,Nexxtech Dual USB Car Charger - $0.96,http://www.anrdoezrs.net/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Fbrands%2Fnexxtech%2Fnexxtech-dual-usb-car-charger---black%2Fp%2F108023963&amp;sid=rfdcb,2533,12
8,essjayess,"Jul 8th, 2020 5:39 pm",,"Jul 9th, 2020 12:33 am",Small Business,$0.97,4,64% off,Amazon.ca,Office Supplies,"Sharpie Permanent Markers, Ultra Fine Point, Black, 2 Pack, $0.97 (Add-on Item)",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB00144862U%2Fref%3Dolp_product_details%3F_encoding%3DUTF8%26me%3D%26th%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,3566,33
9,Andanzas,"Jul 7th, 2020 9:57 pm","August 31, 2020","Jul 8th, 2020 11:36 pm",Financial Services,,25,,Royal Bank,Banking & Investing,RBC banking account - Free Airpods with Charging Case,https://www.rbcroyalbank.com/services/accounts/airpods-offer-s-or.html?utm_dc=ks_SEG_78304016_91926431490_446187696393_kwd-314342049356_c&amp;gclid=Cj0KCQjwupD4BRD4ARIsABJMmZ9Xrr4PORNWN5de2ptxzKr944PxEIsu_zB7jt3iupMK7G3QOPvzZyQaAjADEALw_wcB#top-page-content-2,9945,-20
10,DaLore,"Jul 8th, 2020 2:17 pm","July 12, 2020","Jul 8th, 2020 11:29 pm",,,7,20% to 30%,,Apparel,Buy more and save more on clothing and footwear,https://www.costco.ca/clothing-handbags.html,3634,7
11,Carbuff4,"Jun 24th, 2020 1:32 pm",,"Jul 8th, 2020 11:17 pm",Sports & Fitness,26.99,33,,,Clothing & Accessories,Superfeet Insoles Green $26.99,https://www.wellwise.ca/products/superfeet-heritage-insole-green-series/sku/086301514101,6960,29
12,Diafel,"Jul 2nd, 2020 2:21 am",,"Jul 8th, 2020 11:12 pm",Financial Services,,15,,,Credit Cards,Samsung Galaxy S20 Ultra Cosmic Grey Dual Sim - $1206,https://pdaplaza.ca/collections/deals/products/samsung-galaxy-s20-ultra-5g-sm-g988b-ds-128gb-cosmic-grey-factory-unlocked,3846,-7
13,peterchang,"Jul 8th, 2020 10:53 pm",,"Jul 8th, 2020 11:01 pm",Computers & Electronics,1029,1,,Costco,Computers & Tablets/eReaders,Lenovo Ideapad Flex 5 4700u 16gb,https://www.costco.ca/lenovo-ideapad-flex-5-81x20067cf-2-in-1-laptop%2c-amd-ryzen-7-4700u.product.100658044.html,2302,1
14,SmokinbluntZ,"Jun 29th, 2020 12:54 pm",,"Jul 8th, 2020 10:55 pm",Restaurants,,33,,,Fast Food,Free Chicken Sandwich (original or spicy) after completing receipt survey,,8938,-8
15,Jackji,"Jul 8th, 2020 9:41 am",,"Jul 8th, 2020 10:40 pm",Computers & Electronics,620,9,,Lenovo Canada,Peripherals & Accessories,Lenovo Legion Y27q-20 27-inch WLED Gaming Monitor $620,http://lenovo.evyy.net/c/341376/225728/3899?u=https%3A%2F%2Fwww.lenovo.com%2Fca%2Fen%2Faccessories-and-monitors%2Fmonitors%2Fgaming%2FY27q-20A19270QY2-27inch-Monitor-HDMI%2Fp%2F65EEGAC1US,2323,-2
16,gamzerz,"Jul 8th, 2020 1:31 pm",,"Jul 8th, 2020 10:12 pm",Computers & Electronics,$156.26,1,35% off,Amazon.ca,Home Theatre & Audio,Etymotic Research Etymotic ER3XR Earphones - $156.26,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2F%25C3%2589couteurs-intra-auriculaires-armature-%25C3%25A9quilibr%25C3%25A9e-Standard%2Fdp%2FB076652HPH%2Fref%3Dsr_1_2%3Fdchild%3D1%26keywords%3Der3xr%26qid%3D1594229204%26sr%3D8-2&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1489,5
