,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
0,pux420,"Jun 29th, 2020 12:30 pm","July 12, 2020","Jul 12th, 2020 11:37 am",Home & Garden,214.99,121,20%,Costco,Home Improvement & Tools,Garage Epoxy $214.99,https://www.costco.ca/rokrez-epoxy-floor-coating-kit-with-chips-and-additive.product.100402675.html,35154,22
1,Indubitably,"Jul 12th, 2020 9:06 am",,"Jul 12th, 2020 11:35 am",Computers & Electronics,19.99,20,$23 off,Amazon.ca,Home Theatre & Audio,Dudios True Wireless Earbuds - $19.99 with Prime,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FDudios-Bluetooth-Headphone-microphone-One-Button%2Fdp%2FB07R4HFXTL&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,2470,19
2,maverikbc,"Jul 8th, 2020 9:31 pm",,"Jul 12th, 2020 11:35 am",Financial Services,,67,,,Credit Cards,"TD, BMO, and CIBC cash back 10% cards welcome bonuses end dates vary",,15080,19
3,phoreoneone,"Jun 30th, 2020 10:48 am",,"Jul 12th, 2020 11:32 am",,,5,,Starbucks,Groceries,Aeroplan with TD and Starbucks Offers YMMV CHECK EMAIL,,1440,0
4,AramisAtos,"Jun 18th, 2020 3:20 pm",,"Jul 12th, 2020 11:32 am",,,96,70%,,Apparel,Levi's Warehouse Sale Event 70% off,http://levis-canada.sjv.io/c/341376/486184/8468?u=https%3A%2F%2Fwww.levi.com%2FCA%2Fen_CA%2Fend-of-season%2Fc%2Flevi_clothing_year_end_holiday_sale%3Fcamp%3DCME%2AEC%2ACA%2AEN%2ACA_Levis_Dedicated_Warehouse_Starts_Promo%2Acme_adh%2Aresp%2AALL%2A20200618%26camp_id%3Dlevis.32683002%2520%26rmid%3D20200618_CA_Levis_Dedicated_Warehouse_Starts_Promo%26rrid%3D1115440762%26e_id_s25511%3D2fbc429de516231cccf1b7d48a5c8f5874af9aa6dd599a1169f4e739c9b6c59d%26e_id_m25511%3D21784577610190435641b65a630ce654,34354,59
5,Mr2828,"Jul 9th, 2020 5:42 pm",,"Jul 12th, 2020 11:31 am",,,171,,Foot Locker,Apparel,Ultraboost/NMD/Infinity React 50% + extra 15/20% off,,48508,112
6,enzo85,"Jul 12th, 2020 11:31 am",,"Jul 12th, 2020 11:31 am",Home & Garden,,0,,,Appliances,$499 - Miele Classic C1 Cat and Dog Canister Vacuum - Clearance,https://www.canadiantire.ca/en/pdp/miele-classic-c1-cat-and-dog-canister-vacuum-0438196p.html#Clearance,66,0
7,SAN66,"Jul 11th, 2020 4:09 pm",,"Jul 12th, 2020 11:28 am",Computers & Electronics,$129.97,22,30%,Staples,Peripherals & Accessories,Google Home Wifi Router (1st gen) $129.97 in store,https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2705491-en-google-wifi-whole-home-mesh-wifi-system-ga3a00440-a08,4900,4
8,mangoman,"Jul 10th, 2020 4:40 pm","July 12, 2020","Jul 12th, 2020 11:27 am",Computers & Electronics,$499 + 20x,199,,Shoppers Drug Mart,Computers & Tablets/eReaders,$499.99 Acer Aspire 3 Ryzen 3 3200U / 8GB RAM / 256 GB SSD / FHD,,22448,21
9,Blackdove77,"Jul 6th, 2020 12:49 pm","July 12, 2020","Jul 12th, 2020 11:27 am",Computers & Electronics,,111,100%,,Video Games,Watchdogs 2 PC version free on July 12th,https://news.ubisoft.com/en-us/article/41nS5f7EjNSB9Hi7CwSuVz/ubisoft-forward-everything-you-need-to-know,25379,105
10,metasyntactic,"Jul 7th, 2020 1:21 pm","July 20, 2020","Jul 12th, 2020 11:27 am",Home & Garden,139,92,,Home Depot,Home Improvement & Tools,Milwaukee M12 FUEL Stubby 3/8-Inch Impact Wrench 2554-20 (Tool-Only) - $139,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-tool-m12-fuel-12v-lithium-ion-brushless-cordless-stubby-3-8-inch-impact-wrench-tool-only-/1001232346,12894,7
11,justGZ,"Jul 11th, 2020 10:05 pm","July 30, 2020","Jul 12th, 2020 11:26 am",Computers & Electronics,1079,10,$360,Best Buy,Televisions,"Samsung 65"" 4K UHD HDR QLED(QN65Q7DRAFXZC) -Demo Model- $1079",https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/samsung-65-4k-uhd-hdr-qled-tizen-smart-tv-qn65q7drafxzc-only-at-best-buy-demo-model/14638467?cmp=knc-s-71700000055312369&amp;gclid=EAIaIQobChMImKi9ms7G6gIVjLbICh1WbQPREAYYASABEgJTtfD_BwE&amp;gclsrc=aw.ds,2748,-2
12,ajacian81,"Jul 10th, 2020 7:31 pm",,"Jul 12th, 2020 11:25 am",Computers & Electronics,1200,36,,Staples,Computers & Tablets/eReaders,"$1200 ASUS Zenbook 14"" Ultrabook, 3.6 GHz AMD Ryzen 7 4700U, 512 GB SSD, 16 GB LPDDR4, NVIDIA GeForce MX350",https://staplescanada.4u8mqw.net/c/341376/755401/10903?u=https://www.staples.ca/products/2979662-en-asus-zenbook-um433iq-bs71-ca-14-ultrabook-36-ghz-amd-ryzen-7-4700u-512-gb-ssd-16-gb-lpddr4-nvidia-geforce-mx350,7457,6
13,ShopperfiendTO,"Jul 12th, 2020 11:22 am","July 12, 2020","Jul 12th, 2020 11:22 am",Home & Garden,599.99,0,,,Appliances,"Vitamix Ascent 2300 w 64, 48 & 2x20 oz. containers for $600",https://www.tsc.ca/pages/productdetails?nav=r:487028&amp;ic=HP_MN1_200712_KN_Vitamix_487028,120,1
14,markolic,"Jul 11th, 2020 10:49 pm",,"Jul 12th, 2020 11:22 am",Computers & Electronics,350,48,,Amazon.ca,Cell Phones,nokia 5.3 $349,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FNOKIA-5-3-Snapdragon-6-55-inches-Unlocked%2Fdp%2FB088K3BBF2%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3Dnokia%2B5.3%26qid%3D1594521933%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,7447,14
15,EasyCompany251,"Jul 11th, 2020 10:11 pm",,"Jul 12th, 2020 11:20 am",,20,8,,Canadian Tire,Automotive,Maximum Impact Socket Set 10 Piece - $20,https://www.canadiantire.ca/en/pdp/maximum-impact-socket-set-10-pc-0587496p.html#srp,3297,9
16,DNAv5,"Jul 5th, 2020 11:47 am",,"Jul 12th, 2020 11:17 am",,2299,119,,Costco,Sports & Fitness,Costco.ca Daymak EC1 Pro Carbon Fibre Electric Bicycle $2300,https://www.costco.ca/daymak-ec1-pro-70-cm-(27.5-in.)-carbon-fibre-electric-bicycle.product.100665069.html,24572,16
17,mk316,"Jul 5th, 2020 7:21 pm",,"Jul 12th, 2020 11:16 am",Home & Garden,39.99,119,,Costco,Other,Brondell SimpleSpa Thinline Dual Nozzle Bidet $39.99,https://www.costco.ca/brondell-simplespa-thinline-dual-nozzle-bidet.product.100535190.html,22611,68
18,JohnP9,"Jul 12th, 2020 9:43 am",,"Jul 12th, 2020 11:15 am",,89.99 / 17,4,18 - 20% o,,Computers & Electronics,Corsair Vengeance LPX 16GB (2x8GB) and 32 GB (2x16) DDR4 DRAM 3200MHz $89.99 / $174.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FCorsair-Vengeance-3200MHz-Desktop-Memory%2Fdp%2FB0143UM4TC%2Fref%3Dmp_s_a_1_1_sspa%3Fdchild%3D1%26keywords%3Dcorsair%2Bvengeance%2Blpx%2B16gb%2Bddr4%2Bram%2B3200%26qid%3D1594561264%26sprefix%3DCorsair%2Bven%26sr%3D8-1-spons%26psc%3D1%26spLa%3DZW5jcnlwdGVkUXVhbGlmaWVyPUEyTFlKSU1ITlZYOTFPJmVuY3J5cHRlZElkPUEwNDc5NjE0WUJNUDJPNUVKM0ZUJmVuY3J5cHRlZEFkSWQ9QTA3OTcyMTY4WU9YQkpMUFgzOUEmd2lkZ2V0TmFtZT1zcF9waG9uZV9zZWFyY2hfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ%3D%3D&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,852,2
19,sate1137,"May 4th, 2020 10:47 am",,"Jul 12th, 2020 11:13 am",Home & Garden,,11,25% OFF,,Other,Custom Print Products [New Beach Towel],https://fujifilmprintlife.ca/collections,12743,7
20,SamS36369,"Jun 22nd, 2020 6:13 pm",,"Jul 12th, 2020 11:12 am",Financial Services,,587,,American Express,Credit Cards,"Amex Offers Spend $10, get $5 - Up to 10 times (starts June 24th)",,79052,104
21,immad01,"Jul 10th, 2020 5:11 pm",,"Jul 12th, 2020 11:11 am",Entertainment,$36.00,28,,East Side Marios,Other,Family PIZZA/PASTA deal for 4 - $36 (only valid for delivery or pickup),https://www.eastsidemarios.com/en/delivery-deals.html,4642,-18
22,Diafel,"Jul 12th, 2020 4:19 am",,"Jul 12th, 2020 11:08 am",Computers & Electronics,299.99,19,,eBay.ca,Computers & Tablets/eReaders,Asus GTX 1660 Super - $299.99,http://rover.ebay.com/rover/1/706-53473-19255-0/1?type=4&amp;campid=5335823041&amp;toolid=10001&amp;customid=&amp;mpre=https%3A%2F%2Fwww.ebay.ca%2Fitm%2F174124759870,2131,-1
23,Strafe1,"Jul 11th, 2020 7:34 pm","July 15, 2020","Jul 12th, 2020 11:08 am",,2.99/10.99,20,$3/$5,No Frills,Groceries,Breyer's Creamery Style Ice Cream 1.66L $2.99 & Gatorade Sports Drinks -4 Flavours -Case of 24x591mL $10.99 -GTA,https://www.nofrills.ca/print-flyer?utm_campaign=20200711_PCO_Discount&amp;utm_medium=LD_em&amp;utm_source=sfmc-marketing&amp;utm_term=na&amp;utm_content=na_na_na_na_na,2957,4
24,2Riskit,"Jul 12th, 2020 9:45 am",,"Jul 12th, 2020 11:06 am",Computers & Electronics,$ 79.99,8,,Amazon.ca,Peripherals & Accessories,Corsair Semi-Modular ATX CX650M Power Supply CP-9020103-NA $ 79.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB01B72W1VA&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,773,1
25,ogloprfd,"Jul 10th, 2020 11:24 am",,"Jul 12th, 2020 11:06 am",,$99.95,78,15% off,Amazon.ca,Computers & Electronics,"Noctua NH-D15S, Premium Dual-Tower CPU Cooler with NF-A15 PWM 140mm Fan $99.95",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FNoctua-NH-D15S-Premium-Dual-Tower-Cooler%2Fdp%2FB00XUVGLEU%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3Dnoctua%2Bd15s%26qid%3D1594394441%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,9300,9
26,brobinsoncc,"Aug 23rd, 2019 12:26 am",,"Jul 12th, 2020 11:05 am",Computers & Electronics,3298,2705,,,Televisions,"(Visions, Costco, BB, 2001) LG OLED 65C9 $3298 55C9 $2298 65B9 $2998 55B9 $1998",https://www.visions.ca/product-detail/49756/lg_65_c9_series_oled_4k_uhd_smart_tv_with_webos_4_5_thinq_ai_and_alpha_9_gen_2?categoryId=0&amp;sku=OLED65C9,494022,62
27,univek,"Jul 12th, 2020 10:19 am",,"Jul 12th, 2020 11:04 am",Home & Garden,14.98,5,12,Amazon.ca,Appliances,"Cino Cleano Expresso Machine Cleaning Tablets (8 count for $14.98, 12% off)",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Ftablettes-nettoyage-machine-expresso-8541892878%2Fdp%2FB07D58X7BC%2Fref%3Dsr_1_2%3Fdchild%3D1%26keywords%3Dciao%2Bcleano%26qid%3D1594563283%26sr%3D8-2&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,518,-2
28,smay69,"Jul 12th, 2020 11:01 am",,"Jul 12th, 2020 11:01 am",Home & Garden,30-140,0,,Princess Auto,Outdoors & Patio,Various Lawnmaster Garden Power Equipment,https://www.princessauto.com/en/search?Dy=1&amp;Nty=1&amp;Ntt=lawnmaster,304,-2
29,hill15,"Jul 7th, 2020 11:28 am",,"Jul 12th, 2020 11:01 am",Home & Garden,$12.00,27,,,Other,Provigo/Loblaws PC Club Pack Toilet Paper 30 rolls x 425 sheets 2 ply $12 July 9-12,https://www.provigo.ca/print-flyer?navid=flyer-deal&amp;navid=CIRCULAIRES-ET-AUBAINES,5461,3
0,hill15,"Jul 7th, 2020 11:28 am",,"Jul 12th, 2020 11:01 am",Home & Garden,$12.00,27,,,Other,Provigo/Loblaws PC Club Pack Toilet Paper 30 rolls x 425 sheets 2 ply $12 July 9-12,https://www.provigo.ca/print-flyer?navid=flyer-deal&amp;navid=CIRCULAIRES-ET-AUBAINES,5463,3
1,enzo85,"Jul 12th, 2020 11:00 am",,"Jul 12th, 2020 11:00 am",Home & Garden,,0,,Canadian Tire,Appliances,$349 - iRobot Roomba 690 Wi-Fi Connected - Clearance sale,https://www.canadiantire.ca/en/pdp/irobot-roomba-690-wi-fi-connected-vacuuming-robot-0438149p.html#Clearance,423,0
2,HarelD475,"Jul 11th, 2020 3:15 pm",,"Jul 12th, 2020 10:59 am",,$125,25,Reg. $288,Home Depot,Home & Garden,Ryobi Gasoline Backpack Blower YMMV,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-175-mph-760-cfm-38cc-gas-backpack-leaf-blower/1001485754,4021,-6
3,tonershop,"Jul 11th, 2020 1:03 pm",,"Jul 12th, 2020 10:58 am",Home & Garden,$4,25,,Dollarama,Home Improvement & Tools,Globe Electric Wall Plate Night Light with Built-In Motion Sensor $4,,6834,20
4,manho,"Jul 11th, 2020 10:37 pm",,"Jul 12th, 2020 10:57 am",Home & Garden,$187.49,24,,Best Buy,Appliances,Honeywell Air Purifier HPA300 $187.49 ON only?,https://bestbuyca.o93x.net/c/341376/644465/10221?u=https://www.bestbuy.ca/en-ca/product/honeywell-allergen-remover-air-purifier-with-hepa-filter-black/12484057,3098,2
5,MikeTO2,"Jun 29th, 2020 5:49 pm","July 31, 2020","Jul 12th, 2020 10:56 am",Financial Services,,18,,Scotiabank,Banking & Investing,$25 GC + $300 Cash When Opening a Scotibank Chequing Account,https://www.ratesupermarket.ca/deals,5693,-3
6,Desperadude,"Jul 11th, 2020 12:32 pm",,"Jul 12th, 2020 10:55 am",Computers & Electronics,,15,,Canada Computers,Computers & Tablets/eReaders,[CC] i5-9400 $175 after coupon + FS,https://www.canadacomputers.com/product_info.php?cPath=4_65&amp;item_id=136393,2858,5
7,redflagdealsguy,"Jun 21st, 2020 1:18 am",,"Jul 12th, 2020 10:54 am",,449.00,264,,Amazon.ca,Computers & Electronics,"Acer Aspire 5 Slim Laptop [Tinkerer Rig] - $449 + Upgrade Costs - Ryzen 3 3200U + 15.6"" IPS FHD",http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07RF1XD36%2F&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,51524,87
8,miisaka,"May 23rd, 2020 7:43 pm",,"Jul 12th, 2020 10:52 am",,,64,50%,,Apparel,Mackage Outerwear 50% off,https://www.fadedsoul.com/discount-designer-clothes-sale?dir=asc&amp;manufacturer=781&amp;order=name&amp;ct=t(EMAIL_CAMPAIGN_5_6_2020_16_9)&amp;mc_cid=5195f63811&amp;mc_eid=130aa4fe6a,24468,16
9,RaySmith,"Jul 11th, 2020 8:32 am",,"Jul 12th, 2020 10:51 am",Home & Garden,$63.74,12,25% + 2pc,,Appliances,Grosche Milano Stainless Steel Moka Pot 10oz $63.74 + 2 free glasses,https://mailchi.mp/grosche/coming-soon-up-to-50-off-select-items-263477?e=c229030fc0,4038,10
10,eljay0,"Jul 10th, 2020 1:13 pm",,"Jul 12th, 2020 10:49 am",,$79,80,,Home Depot,Home & Garden,Chamberlain MyQ Smart Garage Hub $79 + FREE Google Nest Mini ($39-$69 value),https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/chamberlain-myq-smart-garage-hub/1000663927,13441,24
11,MooseOnLoose,"Jul 6th, 2020 8:05 am",,"Jul 12th, 2020 10:48 am",Computers & Electronics,35.99,16,35%,Amazon.ca,Peripherals & Accessories,Soundcore Spirit Pro- 35.99-price drop on great BT earbuds,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2FHeadphones-Soundcore-SweatGuard-Technology-Bluetooth%2Fdp%2FB07BMV5T2N&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,4613,2
12,theCrazyDealHunter,"Jul 12th, 2020 7:24 am",,"Jul 12th, 2020 10:44 am",Beauty & Wellness,39.99,2,20% off,Amazon.ca,Beauty Supplies & Personal Care,Philips MultiGroom 5000 - 39.99 (10$ less),http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB073RHH3GH%2Fref%3Dppx_od_dt_b_asin_title_s00%3Fie%3DUTF8%26psc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1325,1
13,riseagainstthemachine,"Jul 2nd, 2020 10:03 am",,"Jul 12th, 2020 10:40 am",,free,71,,,Apparel,Kits.com Free Pair Prescription Glasses,https://www.kits.com/freeglasses.html,19472,48
14,airartaura,"Jul 12th, 2020 10:37 am",,"Jul 12th, 2020 10:37 am",Entertainment,,0,16%,,"Books, Music, Movies, Magazines",Book Outlet - Many Low Prices on Books (Free Shipping Over $45 & 16% Off),https://www.awin1.com/awclick.php?gid=340116&amp;mid=13471&amp;awinaffid=139736&amp;linkid=2187437&amp;clickref=&amp;p=https://bookoutlet.ca/,403,2
15,awsemo,"Jul 4th, 2020 2:57 pm",,"Jul 12th, 2020 10:33 am",Computers & Electronics,499,240,,Costco,Cell Phones,LG G8X ThinQ 128GB Smartphone - $499 (in-store),https://www.costco.ca/lg-g8x-thinq-128-gb-aurora-black-unlocked-smartphone.product.100657778.html,47763,70
16,thispig,"Jul 11th, 2020 8:41 pm",,"Jul 12th, 2020 10:28 am",,,17,,,Computers & Electronics,[Koodo] Free TCL 4K Smart TV when you get the new TCL 10 Pro.,https://www.koodomobile.com/phones/tcl-10-pro,5431,4
17,trystee,"Jan 1st, 2020 8:32 pm",,"Jul 12th, 2020 10:24 am",,,667,,,Groceries,[Various Retailers] Gift Card Deals And Discounts (2020),,363053,317
18,pjw918,"Jul 11th, 2020 3:54 pm",,"Jul 12th, 2020 10:23 am",Computers & Electronics,$0,21,$600,Freedom Mobile,Cell Phones,"$65/20GB, with free Samsung A71",https://www.freedommobile.ca/en-CA,4144,4
19,mikea,"Jul 10th, 2020 3:43 pm",,"Jul 12th, 2020 10:22 am",Computers & Electronics,89.99,37,,The Source,Computers & Tablets/eReaders,Amazon Fire HD 8 (newest edition) live on July 17 $89.99,http://www.kqzyfj.com/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Fcomputers-tablets%2Fipad-tablets%2Ftablets%2Famazon-all-new-fire-hd-8-%25282020%2529-8%25e2%2580%259d-tablet-with-2-0ghz-quad-core-processor%252c-32gb-of-storage---black%2Fp%2F108088782&amp;sid=rfdcb,7507,-4
20,DealMaker007,"Jul 12th, 2020 12:02 am","August 15, 2020","Jul 12th, 2020 10:18 am",,,1,,,Groceries,Drop app - Voila by Sobeys grocery delivery - Boosted offer 30000 pts for $50 spend,,1229,-2
21,ItWasOnSale,"Jul 12th, 2020 8:37 am","July 12, 2020","Jul 12th, 2020 10:17 am",,$59.95,2,,Amazon.ca,Computers & Electronics,1more triple driver $59.95 in-ear headphones.,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2F1MORE-Earphones-Headphones-Resolution-Smartphones%2Fdp%2FB01KB9K9Z0%2Fref%3Dsr_1_3%3Fdchild%3D1%26keywords%3D1more%2Btriple%2Bdriver%2Bin-ear%2Bheadphones.%26qid%3D1594558074%26sr%3D8-3&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1223,4
22,bigfishman,"Jul 6th, 2020 3:46 am","September 30, 2020","Jul 12th, 2020 10:13 am",Financial Services,,207,,American Express,Credit Cards,Shopping.ca Gift Card by Ivanhoé Cambridge - Spend at least $100 and Earn $20 credit. Up to 3 times - YMMV,,24197,71
23,Striker317,"Jul 3rd, 2020 1:01 pm",,"Jul 12th, 2020 10:12 am",Home & Garden,160.49,16,,Amazon.ca,Appliances,Instant Pot Ultra 8 Quart 10 in 1 - $160.49 - new all time low.,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fdp%2FB07588SJHN%3Ftag%3Dcamelca3palerts-20%26linkCode%3Dogi%26th%3D1%26psc%3D1%26language%3Den_CA&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,7386,1
24,deal1234321,"Jul 10th, 2020 2:42 am",,"Jul 12th, 2020 10:08 am",,$1.25,28,,Dollarama,Beauty & Wellness,Pur Hand Sanitizer 120ml $1.25,,6905,18
25,chadw01,"Jul 10th, 2020 5:15 pm","July 19, 2020","Jul 12th, 2020 10:04 am",,$789.99,104,$200 off,,Beauty & Wellness,Capillus 82 - Laser Therapy Hair Regrowth Cap for Treatment of Hair Loss & Hair Thinning - $789.99,https://www.costco.ca/.product.100476333.html,14051,-19
26,WilliamS17867,"May 21st, 2020 7:13 pm",,"Jul 12th, 2020 10:02 am",Home & Garden,$366.33,98,,Home Depot,Home Improvement & Tools,Milwaukee Mitre Saw 6955-20 with free stand,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/milwaukee-12-inch-dual-bevel-sliding-compound-mitre-saw/1000526692,33909,18
27,pigqq,"Feb 29th, 2020 8:24 am","September 30, 2020","Jul 12th, 2020 9:50 am",Financial Services,,434,,CIBC,Banking & Investing,CIBC Earn $300 and 12 Month Fee Rebate with a CIBC Smart Account,https://www.cibc.com/en/special-offers/smart-fee-rebate.html?itrc=M392:11,134886,57
28,danzerino,"Jul 10th, 2020 7:57 am",,"Jul 12th, 2020 9:50 am",,,20,,Costco,Groceries,Get a $25 Costco.ca voucher when signing up to Exec membership,,4423,-3
29,mymuro,"Jul 11th, 2020 12:20 am","July 14, 2020","Jul 12th, 2020 9:41 am",Entertainment,,45,,Microsoft Store,"Books, Music, Movies, Magazines","Naruto, Steins Gate, Sword Art Online, Overlord *Free",,14188,106
0,2Riskit,"Jul 11th, 2020 10:44 am",,"Jul 12th, 2020 9:07 am",Computers & Electronics,$ 69.99,11,,Amazon.ca,Peripherals & Accessories,MSI ProSeries Micro ATX (B365M PRO-VH) $ 69.99 (SOLD OUT) /ASRock Motherboard & CPU Combo J3355M $ 58.99,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Foffer-listing%2FB07WCN8KSZ%2Fref%3Ddp_olp_new_mbc%3Fie%3DUTF8%26condition%3Dnew&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1970,1
1,Jamie786,"Jun 17th, 2020 3:12 pm","June 24, 2020","Jul 12th, 2020 9:06 am",Home & Garden,99,133,,No Frills,Other,No Name Portable BBQ $99,,48206,59
2,kooltilltheen,"Jul 7th, 2020 4:12 am",,"Jul 12th, 2020 9:04 am",,,49,,,Apparel,Upto 75% Off On Everything On Old Navy/Gap + Extra 50% Off Clearance on Gap,,18184,14
3,whysignup,"Jun 27th, 2020 4:23 am",,"Jul 12th, 2020 9:00 am",Computers & Electronics,45,141,90% off,Fido,Cell Phones,7GB FOR $45/mo- + $0 iPhone 6s +a New Line !!HOT!!,http://www.fido.ca/add-a-line/phone-plans,54504,18
4,Teletran,"Jul 4th, 2020 12:49 pm",,"Jul 12th, 2020 8:57 am",Computers & Electronics,99.96,105,,,Video Games,Ring Fit Adventure $99.96 @ Walmart Dixie and Dundas and other locations.,http://click.linksynergy.com/deeplink?id=CAqD7bLWUPI&amp;mid=36751&amp;murl=https%3A%2F%2Fwww.walmart.ca%2Fen%2Fip%2Fring-fit-adventure-nintendo-switch%2F6000200479542&amp;u1=rfdcb,26608,21
5,danio11,"Jun 17th, 2020 9:54 am",,"Jul 12th, 2020 8:56 am",Computers & Electronics,3523.99,64,$1500,,Televisions,LG NANO90 86'' 4K SmartTV - $3523.99,https://www.tanguay.ca/fr/prod2/03/electronique-et-informatique/R/televiseurs-et-projecteurs/4KUH/televiseurs-uhd-4k/H86D/del-86-po/737797/,13389,5
6,LeifS39303,"Jul 10th, 2020 10:36 pm","July 26, 2020","Jul 12th, 2020 8:54 am",Computers & Electronics,$724.99,50,$225 off.,Best Buy Mobile,Cell Phones,HOT! Open Box Samsung Galaxy Note 10/10+ $725 and $875!!!,,12855,4
7,Caerus,"May 18th, 2020 9:56 pm",,"Jul 12th, 2020 8:49 am",Home & Garden,$137,113,,Home Depot,Appliances,"Winix P300 Air Purifier $148 ($100 off, regular of $248) *Edit: Now $137*",https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/winix-freshome-p300-air-purifier/1001103940,32589,20
8,bigfishman,"Jun 4th, 2020 3:44 am","August 27, 2020","Jul 12th, 2020 8:47 am",Financial Services,,544,,American Express,Credit Cards,Amex Personal Platinum offer - $250 credits for everydays essentials and more!,,83231,144
9,serialKickerr,"Jul 10th, 2020 10:57 pm",,"Jul 12th, 2020 8:46 am",Automotive,9.99,50,55% off,Canadian Tire,Auto Parts & Accessories,Simoniz Microfibre towels 36pack $9.99 originally $22.99,https://www.canadiantire.ca/en/pdp/simoniz-microfibre-towels-36-pk-0396697p.html?rrec=true#spc,11865,38
10,stizarch,"Jul 11th, 2020 10:45 pm",,"Jul 12th, 2020 8:38 am",Automotive,296.11,4,,,Auto Parts & Accessories,Jensen JWM60A 3 Zone RV/Trailer Radio,http://www.amazon.ca/gp/redirect.html?ie=UTF8&amp;location=https%3A%2F%2Fwww.amazon.ca%2Fgp%2Fproduct%2FB07957QKYY%3Fpsc%3D1&amp;tag=redflagdealsc-20&amp;linkCode=ur2&amp;camp=15121&amp;creative=330641,1573,0
11,wittyG113,"Jul 9th, 2020 2:47 pm","July 22, 2020","Jul 12th, 2020 8:32 am",,34.99,88,,The Source,Computers & Electronics,Xtreme Gaming LED Backlit Mechanical Gaming Keyboard - $34.99,http://www.anrdoezrs.net/click-749547-10797598?url=https%3A%2F%2Fwww.thesource.ca%2Fen-ca%2Fcomputers-tablets%2Fcomputer-accessories%2Fkeyboards%2Fxtreme-gaming-led-backlit-mechanical-gaming-keyboard---outemu-blue%2Fp%2F108082128&amp;sid=rfdcb,16408,62
